,area_type,availability,location,bath,price,bhk,sqft
1488,Super built-up  Area,Ready To Move,Uttarahalli,2,44.0,2,1200.0
1489,Built-up  Area,Ready To Move,Other,3,100.0,3,1756.0
1491,Super built-up  Area,Ready To Move,Yelahanka,1,24.0,1,628.0
1493,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,63.0,2,1207.0
1494,Super built-up  Area,Ready To Move,Kalena Agrahara,3,125.0,3,1765.0
1496,Super built-up  Area,Soon to be Vacated,Other,3,92.0,3,1532.0
1497,Built-up  Area,Ready To Move,Other,3,110.0,3,1650.0
1498,Built-up  Area,Soon to be Vacated,Horamavu Banaswadi,4,105.0,4,1200.0
1499,Carpet  Area,Soon to be Vacated,Bhoganhalli,2,69.09,2,804.1
1500,Super built-up  Area,Soon to be Vacated,Doddathoguru,2,75.0,2,1200.0
1504,Super built-up  Area,Ready To Move,Other,2,148.0,2,1010.0
1505,Super built-up  Area,Ready To Move,Whitefield,3,115.0,3,2225.0
1507,Super built-up  Area,Ready To Move,Other,2,122.0,3,1525.0
1508,Super built-up  Area,Ready To Move,Ananth Nagar,2,31.5,2,1100.0
1510,Built-up  Area,Ready To Move,Attibele,1,14.0,1,400.0
1511,Super built-up  Area,Ready To Move,Dommasandra,2,50.0,2,1200.0
1512,Super built-up  Area,Soon to be Vacated,Whitefield,2,95.05,2,1272.0
1514,Built-up  Area,Ready To Move,Kalena Agrahara,2,40.0,2,980.0
1515,Super built-up  Area,Soon to be Vacated,Malleshpalya,2,46.86,2,1225.0
1517,Super built-up  Area,Ready To Move,Ramagondanahalli,2,111.0,3,1610.0
1518,Super built-up  Area,Ready To Move,Jalahalli,2,125.0,2,1694.0
1520,Super built-up  Area,Ready To Move,Kaggalipura,2,39.0,2,950.0
1523,Plot  Area,Ready To Move,Chandapura,2,60.0,2,1500.0
1525,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,63.53,2,1258.0
1527,Super built-up  Area,Ready To Move,Thigalarapalya,2,112.0,2,1297.0
1528,Super built-up  Area,Ready To Move,Kundalahalli,2,49.0,2,1291.0
1530,Super built-up  Area,Ready To Move,Varthur,2,66.5,2,1012.0
1531,Super built-up  Area,Ready To Move,Mahadevpura,2,57.6,2,1260.0
1532,Super built-up  Area,Ready To Move,Sarjapur  Road,2,72.0,2,1282.0
1534,Plot  Area,Ready To Move,Other,3,200.0,4,2400.0
1537,Super built-up  Area,Ready To Move,EPIP Zone,2,86.98,2,1330.0
1538,Super built-up  Area,Ready To Move,Konanakunte,2,73.0,3,1400.0
1539,Built-up  Area,Soon to be Vacated,Whitefield,2,71.0,2,1192.0
1540,Built-up  Area,Ready To Move,Other,2,130.0,2,1000.0
1541,Super built-up  Area,Ready To Move,Thigalarapalya,2,103.0,2,1297.0
1542,Super built-up  Area,Soon to be Vacated,Sarjapur  Road,1,17.835,1,615.0
1544,Super built-up  Area,Ready To Move,Rayasandra,3,72.0,3,1373.0
1545,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,41.39,2,1035.0
1547,Super built-up  Area,Ready To Move,Doddakallasandra,2,40.39,2,1010.0
1548,Built-up  Area,Ready To Move,Sarjapur,2,42.0,2,1195.0
1549,Super built-up  Area,Ready To Move,HSR Layout,3,95.0,3,1750.0
1550,Super built-up  Area,Ready To Move,Malleshpalya,2,50.0,2,1052.0
1551,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,58.0,2,1180.0
1552,Built-up  Area,Ready To Move,Padmanabhanagar,4,440.0,5,3680.0
1555,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,38.24,2,1128.0
1556,Built-up  Area,Ready To Move,Ulsoor,3,450.0,3,2700.0
1557,Super built-up  Area,Soon to be Vacated,JP Nagar,2,33.6,2,1120.0
1560,Super built-up  Area,Ready To Move,Kanakapura,2,32.69,2,1090.0
1561,Built-up  Area,Ready To Move,Yelahanka,3,251.0,3,2710.0
1565,Super built-up  Area,Soon to be Vacated,Banjara Layout,2,48.0,3,1294.0
1566,Built-up  Area,Ready To Move,Begur,3,75.0,3,1580.0
1568,Plot  Area,Ready To Move,Chikka Tirupathi,4,80.27,3,1808.0
1569,Super built-up  Area,Ready To Move,Rajaji Nagar,4,540.0,4,3516.0
1570,Super built-up  Area,Ready To Move,Parappana Agrahara,2,47.0,2,1194.0
1576,Super built-up  Area,Soon to be Vacated,Yelachenahalli,1,150.0,2,2400.0
1577,Super built-up  Area,Ready To Move,Koramangala,2,100.0,2,1290.0
1578,Built-up  Area,Ready To Move,Yelahanka,6,110.0,6,3770.0
1579,Super built-up  Area,Ready To Move,Other,3,120.0,3,1390.0
1581,Built-up  Area,Ready To Move,Bisuvanahalli,2,33.0,2,845.0
1582,Super built-up  Area,Ready To Move,Yelahanka,3,120.0,3,1537.0
1583,Super built-up  Area,Ready To Move,Other,2,68.0,2,1135.0
1585,Super built-up  Area,Ready To Move,Other,2,55.0,2,900.0
1589,Super built-up  Area,Soon to be Vacated,Hebbal,4,189.0,3,1985.0
1594,Plot  Area,Ready To Move,Sarjapur,5,110.0,4,1200.0
1595,Built-up  Area,Ready To Move,Ardendale,4,200.0,4,3198.0
1597,Super built-up  Area,Ready To Move,Hebbal,5,215.0,4,2483.0
1598,Plot  Area,Ready To Move,Begur,4,130.0,4,1550.0
1599,Super built-up  Area,Ready To Move,Sarjapur  Road,4,310.0,4,4111.0
1601,Super built-up  Area,Ready To Move,Other,3,250.0,3,2500.0
1602,Super built-up  Area,Ready To Move,Rajiv Nagar,3,125.0,3,1690.0
1603,Super built-up  Area,Soon to be Vacated,Hosa Road,2,31.89,2,1063.0
1604,Plot  Area,Ready To Move,Cooke Town,3,390.0,3,2572.0
1605,Carpet  Area,Ready To Move,Other,4,350.0,3,2200.0
1608,Super built-up  Area,Ready To Move,Bommanahalli,1,19.5,1,520.0
1610,Built-up  Area,Ready To Move,Munnekollal,3,68.0,3,1390.0
1612,Super built-up  Area,Ready To Move,Sahakara Nagar,2,48.0,2,1219.0
1613,Super built-up  Area,Soon to be Vacated,Kudlu Gate,2,92.0,3,1564.0
1615,Super built-up  Area,Ready To Move,Hosa Road,2,37.1,2,1100.0
1616,Built-up  Area,Ready To Move,Kothannur,2,60.0,3,1300.0
1617,Plot  Area,Ready To Move,Chikkabanavar,2,80.0,3,1600.0
1619,Super built-up  Area,Soon to be Vacated,Hennur Road,2,92.0,3,1482.0
1620,Plot  Area,Soon to be Vacated,Marsur,4,66.0,3,1000.0
1621,Super built-up  Area,Ready To Move,Shampura,2,53.0,2,1200.0
1623,Super built-up  Area,Ready To Move,Kengeri,2,58.0,2,1200.0
1625,Built-up  Area,Ready To Move,Nagarbhavi,3,160.0,3,2400.0
1626,Super built-up  Area,Soon to be Vacated,Marathahalli,3,89.0,3,1469.0
1627,Super built-up  Area,Soon to be Vacated,Kanakapura,1,30.0,1,551.0
1629,Super built-up  Area,Ready To Move,Balagere,2,78.5,2,1205.0
1631,Super built-up  Area,Ready To Move,Gubbalala,3,125.0,3,1745.0
1632,Super built-up  Area,Ready To Move,AECS Layout,2,42.0,2,1028.0
1633,Super built-up  Area,Ready To Move,Frazer Town,3,180.0,3,1700.0
1634,Super built-up  Area,Ready To Move,Karuna Nagar,2,34.0,3,1200.0
1635,Super built-up  Area,Ready To Move,Kodihalli,4,270.0,3,2700.0
1637,Plot  Area,Ready To Move,Ramamurthy Nagar,3,72.0,2,1200.0
1639,Super built-up  Area,Ready To Move,Electronic City Phase II,2,59.0,2,1266.0
1640,Super built-up  Area,Ready To Move,Mysore Road,2,62.0,2,1060.0
1641,Plot  Area,Ready To Move,Other,3,70.0,3,1168.0
1643,Super built-up  Area,Soon to be Vacated,Talaghattapura,3,120.0,3,2038.5
1644,Super built-up  Area,Ready To Move,Attibele,1,17.0,1,500.0
1645,Super built-up  Area,Ready To Move,Hulimavu,2,43.2,2,1080.0
1646,Plot  Area,Ready To Move,Other,4,155.0,4,2100.0
1650,Built-up  Area,Ready To Move,Harlur,2,50.0,2,1310.0
1651,Super built-up  Area,Ready To Move,Horamavu Agara,2,75.0,3,1650.0
1652,Super built-up  Area,Ready To Move,Other,3,93.93,3,1515.0
1653,Super built-up  Area,Soon to be Vacated,Raja Rajeshwari Nagar,2,53.8,2,1157.0
1658,Super built-up  Area,Ready To Move,Rachenahalli,2,74.39,3,1530.0
1659,Super built-up  Area,Ready To Move,Judicial Layout,3,162.0,3,2070.0
1661,Super built-up  Area,Ready To Move,Sarjapur  Road,4,300.0,4,3900.0
1662,Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,28.88,2,1000.0
1663,Super built-up  Area,Soon to be Vacated,Ananth Nagar,2,24.55,2,982.0
1664,Super built-up  Area,Ready To Move,Hennur Road,2,89.0,2,1232.0
1665,Super built-up  Area,Soon to be Vacated,Binny Pete,3,178.0,3,1282.0
1666,Super built-up  Area,Ready To Move,Yelahanka,1,38.4,1,654.0
1667,Built-up  Area,Ready To Move,Bannerghatta Road,2,55.0,2,1181.0
1668,Super built-up  Area,Ready To Move,Bisuvanahalli,2,45.0,3,1075.0
1674,Super built-up  Area,Ready To Move,Whitefield,3,89.0,3,1626.0
1676,Super built-up  Area,Ready To Move,Whitefield,3,88.0,3,1585.0
1677,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,56.17,2,1370.0
1679,Super built-up  Area,Ready To Move,Kanakpura Road,2,90.0,2,1495.0
1680,Super built-up  Area,Ready To Move,Other,3,210.0,3,2000.0
1681,Plot  Area,Ready To Move,Other,4,300.0,5,2400.0
1684,Built-up  Area,Ready To Move,Kereguddadahalli,2,48.0,3,1400.0
1686,Super built-up  Area,Soon to be Vacated,Whitefield,1,28.585,1,665.0
1687,Plot  Area,Ready To Move,Hebbal Kempapura,4,215.0,4,1200.0
1689,Super built-up  Area,Ready To Move,Hebbal,2,54.0,2,1080.0
1690,Super built-up  Area,Ready To Move,Kaikondrahalli,3,100.0,3,1645.0
1691,Super built-up  Area,Ready To Move,Other,3,176.0,3,1760.0
1692,Built-up  Area,Ready To Move,Other,1,42.0,1,595.0
1693,Plot  Area,Ready To Move,Bommenahalli,3,125.0,3,1200.0
1694,Super built-up  Area,Soon to be Vacated,JP Nagar,4,314.5,4,4624.5
1697,Plot  Area,Ready To Move,Ramagondanahalli,1,30.0,1,540.0
1702,Built-up  Area,Ready To Move,Ulsoor,2,120.0,2,1275.0
1703,Super built-up  Area,Ready To Move,Kathriguppe,2,68.48,3,1245.0
1704,Built-up  Area,Ready To Move,Other,2,86.0,2,1170.0
1705,Super built-up  Area,Soon to be Vacated,Panathur,2,86.0,2,1193.0
1706,Super built-up  Area,Soon to be Vacated,Chandapura,2,25.4,2,850.0
1708,Built-up  Area,Ready To Move,Gunjur,3,75.0,3,1600.0
1709,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,84.0,3,1750.0
1711,Plot  Area,Ready To Move,Other,4,235.0,4,2200.0
1714,Plot  Area,Ready To Move,R.T. Nagar,2,120.0,2,1200.0
1716,Built-up  Area,Ready To Move,Other,5,480.0,4,2780.0
1719,Super built-up  Area,Ready To Move,Ardendale,4,160.0,4,2422.0
1720,Built-up  Area,Ready To Move,Kasavanhalli,2,50.0,2,1100.0
1721,Built-up  Area,Ready To Move,Uttarahalli,2,30.0,2,882.0
1722,Super built-up  Area,Ready To Move,Bisuvanahalli,2,37.0,2,845.0
1723,Super built-up  Area,Ready To Move,Kambipura,2,39.0,2,883.0
1724,Super built-up  Area,Ready To Move,Thanisandra,1,48.145,1,776.5
1726,Built-up  Area,Ready To Move,Whitefield,2,85.0,2,1280.0
1729,Super built-up  Area,Ready To Move,Choodasandra,2,57.0,2,1300.0
1730,Super built-up  Area,Ready To Move,Other,1,230.0,2,1450.0
1731,Super built-up  Area,Ready To Move,Harlur,3,132.0,3,1757.0
1732,Super built-up  Area,Ready To Move,Anekal,1,16.5,1,600.0
1734,Super built-up  Area,Ready To Move,Sarjapur,2,44.0,2,1240.0
1736,Super built-up  Area,Soon to be Vacated,EPIP Zone,2,93.36,2,1330.0
1737,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,42.47,2,1062.0
1738,Built-up  Area,Ready To Move,JP Nagar,2,45.0,2,1078.0
1740,Plot  Area,Soon to be Vacated,Whitefield,3,68.5,3,1200.0
1741,Super built-up  Area,Ready To Move,Laggere,1,48.0,1,1200.0
1742,Super built-up  Area,Ready To Move,Kammasandra,2,39.0,3,912.0
1743,Super built-up  Area,Soon to be Vacated,Hosa Road,3,115.0,3,1535.0397790000002
1745,Plot  Area,Ready To Move,Prithvi Layout,4,162.0,4,2028.0
1746,Super built-up  Area,Soon to be Vacated,Mysore Road,2,45.47,2,980.0
1748,Super built-up  Area,Ready To Move,Sarjapur  Road,2,62.0,2,1050.0
1749,Built-up  Area,Soon to be Vacated,Bannerghatta,3,239.0,3,2611.0
1750,Super built-up  Area,Ready To Move,Domlur,2,150.0,3,1875.0
1751,Super built-up  Area,Ready To Move,Hennur Road,2,42.6,2,1065.0
1752,Built-up  Area,Ready To Move,Sanjay nagar,3,180.0,3,1800.0
1753,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2,98.86,2,1163.0
1754,Super built-up  Area,Ready To Move,Tumkur Road,2,72.0,2,1098.0
1755,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,100.0,3,1725.0
1756,Plot  Area,Ready To Move,Whitefield,4,330.0,4,4000.0
1757,Super built-up  Area,Ready To Move,Thubarahalli,2,75.0,2,1128.0
1760,Super built-up  Area,Ready To Move,Thigalarapalya,2,95.0,2,1418.0
1761,Built-up  Area,Ready To Move,Ramamurthy Nagar,3,160.0,3,1500.0
1762,Built-up  Area,Ready To Move,Hebbal,2,50.0,2,1100.0
1764,Super built-up  Area,Soon to be Vacated,Hebbal,2,55.0,2,812.0
1767,Super built-up  Area,Ready To Move,Whitefield,2,136.0,2,1420.0
1770,Plot  Area,Ready To Move,Banashankari Stage II,2,150.0,4,1200.0
1771,Super built-up  Area,Soon to be Vacated,Old Airport Road,4,207.0,4,2774.0
1774,Super built-up  Area,Ready To Move,Indira Nagar,3,330.0,3,2800.0
1776,Carpet  Area,Ready To Move,Other,3,175.0,3,1650.0
1778,Built-up  Area,Ready To Move,Jigani,2,47.0,2,914.0
1779,Super built-up  Area,Soon to be Vacated,Hennur Road,2,83.73,3,1482.0
1780,Super built-up  Area,Soon to be Vacated,Kundalahalli,3,127.0,3,1724.0
1782,Super built-up  Area,Ready To Move,Banaswadi,2,53.0,2,1184.0
1783,Super built-up  Area,Ready To Move,Kodigehaali,2,55.0,2,1200.0
1784,Plot  Area,Ready To Move,TC Palaya,2,65.0,2,1200.0
1785,Super built-up  Area,Ready To Move,Jigani,2,55.0,2,927.0
1788,Built-up  Area,Ready To Move,Electronic City,2,75.0,3,1360.0
1789,Plot  Area,Ready To Move,Brookefield,4,240.0,4,2800.0
1790,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,72.0,2,1180.0
1791,Super built-up  Area,Ready To Move,Whitefield,3,108.0,3,1697.0
1793,Super built-up  Area,Ready To Move,Hennur,2,57.0,2,1225.0
1797,Built-up  Area,Ready To Move,Other,2,80.0,3,1250.0
1798,Super built-up  Area,Ready To Move,JP Nagar,1,44.0,1,1050.0
1799,Super built-up  Area,Ready To Move,HSR Layout,2,44.0,2,1027.0
1803,Super built-up  Area,Soon to be Vacated,Horamavu Agara,2,39.0,2,950.0
1804,Plot  Area,Ready To Move,TC Palaya,2,70.0,2,1200.0
1805,Super built-up  Area,Ready To Move,Akshaya Nagar,3,120.0,3,1476.0
1806,Built-up  Area,Ready To Move,CV Raman Nagar,2,55.0,2,1070.0
1807,Super built-up  Area,Ready To Move,EPIP Zone,4,172.0,3,2160.0
1808,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2,75.0,2,1296.0
1809,Built-up  Area,Ready To Move,Chikkalasandra,1,128.0,2,1800.0
1811,Super built-up  Area,Ready To Move,Koramangala,2,110.0,2,1300.0
1813,Super built-up  Area,Ready To Move,Electronic City,1,40.0,2,770.0
1815,Plot  Area,Ready To Move,Other,4,160.0,3,1650.0
1816,Super built-up  Area,Ready To Move,Domlur,3,86.0,3,1429.0
1818,Super built-up  Area,Soon to be Vacated,Bommasandra,2,41.73,2,1035.0
1822,Super built-up  Area,Ready To Move,Nagarbhavi,2,36.0,1,884.0
1823,Super built-up  Area,Ready To Move,Haralur Road,2,46.0,2,1194.0
1824,Super built-up  Area,Soon to be Vacated,Hoodi,2,60.87,2,1026.0
1826,Super built-up  Area,Ready To Move,Kaikondrahalli,2,50.0,2,1115.0
1827,Plot  Area,Ready To Move,Hebbal Kempapura,2,125.0,2,1200.0
1828,Super built-up  Area,Soon to be Vacated,Old Airport Road,4,191.0,4,2690.0
1829,Super built-up  Area,Ready To Move,Subramanyapura,2,58.0,2,975.0
1831,Super built-up  Area,Ready To Move,Chamrajpet,2,170.0,4,1900.0
1833,Super built-up  Area,Ready To Move,OMBR Layout,2,65.5,2,1101.0
1834,Super built-up  Area,Ready To Move,Sarjapur  Road,3,135.0,3,1700.0
1835,Super built-up  Area,Ready To Move,Whitefield,4,312.0,4,3606.0
1836,Super built-up  Area,Ready To Move,Padmanabhanagar,2,115.0,2,1258.0
1837,Carpet  Area,Ready To Move,Kanakpura Road,3,92.0,3,1560.0
1839,Built-up  Area,Ready To Move,JP Nagar,3,250.0,3,2000.0
1841,Super built-up  Area,Soon to be Vacated,Badavala Nagar,2,94.55,3,1494.0
1842,Super built-up  Area,Soon to be Vacated,Hennur Road,2,87.0,3,1482.0
1843,Super built-up  Area,Ready To Move,Other,2,50.0,2,800.0
1844,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,47.39,2,1185.0
1845,Super built-up  Area,Ready To Move,Hulimavu,2,71.5,2,1100.0
1846,Built-up  Area,Ready To Move,NRI Layout,2,120.0,2,1300.0
1847,Super built-up  Area,Ready To Move,Other,2,150.0,2,1225.0
1849,Super built-up  Area,Ready To Move,Banaswadi,2,55.0,2,1145.0
1850,Built-up  Area,Ready To Move,Hormavu,2,50.0,2,1180.0
1853,Built-up  Area,Ready To Move,Arekere,2,55.0,2,1190.0
1854,Super built-up  Area,Ready To Move,Sarjapur  Road,3,119.0,3,1691.0
1855,Super built-up  Area,Soon to be Vacated,Other,4,367.0,4,3675.0
1857,Super built-up  Area,Soon to be Vacated,Basavangudi,4,292.0,3,2337.0
1858,Plot  Area,Ready To Move,Other,2,150.0,2,1200.0
1859,Super built-up  Area,Soon to be Vacated,Domlur,2,217.0,2,1206.0
1861,Super built-up  Area,Ready To Move,Kogilu,2,50.66,2,1140.0
1865,Built-up  Area,Ready To Move,Kereguddadahalli,2,28.0,2,800.0
1866,Super built-up  Area,Ready To Move,Jalahalli East,2,58.0,2,1020.0
1868,Plot  Area,Ready To Move,Other,2,80.0,2,1350.0
1869,Super built-up  Area,Ready To Move,Anekal,2,40.0,2,925.0
1870,Built-up  Area,Ready To Move,Yelachenahalli,3,220.0,4,1800.0
1874,Super built-up  Area,Ready To Move,Other,3,110.0,3,1614.0
1876,Plot  Area,Ready To Move,Gottigere,2,95.0,2,1200.0
1877,Plot  Area,Ready To Move,TC Palaya,2,55.0,2,900.0
1878,Built-up  Area,Ready To Move,Bommenahalli,3,145.0,4,1632.0
1879,Super built-up  Area,Ready To Move,OMBR Layout,2,65.5,2,1041.0
1880,Built-up  Area,Ready To Move,7th Phase JP Nagar,7,450.0,6,5080.0
1883,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2,135.0,3,1450.0
1884,Super built-up  Area,Ready To Move,Bannerghatta Road,2,75.0,2,1200.0
1885,Plot  Area,Ready To Move,Sahakara Nagar,4,130.0,4,1200.0
1886,Super built-up  Area,Ready To Move,Hosur Road,2,110.0,3,1508.0
1888,Super built-up  Area,Ready To Move,Other,2,73.0,2,1188.0
1889,Super built-up  Area,Soon to be Vacated,Old Airport Road,4,199.0,4,2690.0
1890,Super built-up  Area,Ready To Move,Harlur,2,76.0,2,1174.0
1892,Super built-up  Area,Ready To Move,Frazer Town,3,185.0,3,1870.0
1893,Super built-up  Area,Soon to be Vacated,Kengeri Satellite Town,2,25.0,2,1072.0
1895,Super built-up  Area,Soon to be Vacated,Kengeri,2,31.0,2,726.0
1896,Super built-up  Area,Ready To Move,Hosur Road,2,106.0,2,1345.0
1897,Super built-up  Area,Ready To Move,Begur Road,2,45.0,2,1200.0
1898,Built-up  Area,Ready To Move,Nagavarapalya,2,37.0,2,980.0
1899,Super built-up  Area,Ready To Move,Hormavu,2,77.0,2,1050.0
1900,Super built-up  Area,Ready To Move,Uttarahalli,2,39.71,2,993.0
1903,Plot  Area,Ready To Move,Whitefield,4,125.0,4,1204.0
1904,Plot  Area,Ready To Move,Hormavu,2,67.0,2,1200.0
1905,Super built-up  Area,Ready To Move,Other,3,90.0,3,1480.0
1906,Super built-up  Area,Ready To Move,Sarjapur,2,32.5,2,950.0
1907,Built-up  Area,Ready To Move,Domlur,1,55.0,1,640.0
1908,Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,44.0,2,972.0
1910,Super built-up  Area,Ready To Move,Electronic City,2,64.0,2,1128.0
1911,Plot  Area,Ready To Move,Other,2,42.0,2,680.0
1915,Super built-up  Area,Ready To Move,Doddakallasandra,2,54.39,3,1360.0
1916,Super built-up  Area,Ready To Move,BTM Layout,2,63.0,2,1150.0
1917,Built-up  Area,Soon to be Vacated,Hennur Road,4,294.0,4,3450.0
1919,Super built-up  Area,Ready To Move,Jigani,2,46.0,2,920.0
1920,Super built-up  Area,Soon to be Vacated,Bommasandra Industrial Area,2,41.0,2,1030.0
1921,Super built-up  Area,Ready To Move,Thanisandra,3,101.0,3,1564.0
1922,Super built-up  Area,Ready To Move,Uttarahalli,2,45.0,2,1045.0
1923,Plot  Area,Ready To Move,Hegde Nagar,4,83.0,4,1200.0
1924,Built-up  Area,Ready To Move,Subramanyapura,2,55.0,2,1277.0
1925,Super built-up  Area,Ready To Move,Other,3,215.0,3,2479.13
1926,Super built-up  Area,Ready To Move,Sarjapur  Road,3,140.0,3,1846.0
1927,Built-up  Area,Ready To Move,Other,2,106.0,2,1100.0
1929,Plot  Area,Soon to be Vacated,Hormavu,3,70.0,2,1200.0
1931,Super built-up  Area,Ready To Move,Rajaji Nagar,3,223.0,3,1640.0
1934,Super built-up  Area,Ready To Move,Other,3,120.0,3,1925.0
1936,Super built-up  Area,Ready To Move,Other,1,26.0,1,650.0
1938,Super built-up  Area,Ready To Move,Kaggadasapura,2,42.0,2,1150.0
1942,Super built-up  Area,Soon to be Vacated,Other,3,207.0,3,2000.0
1943,Super built-up  Area,Ready To Move,Tumkur Road,3,90.0,3,1354.0
1944,Plot  Area,Ready To Move,Other,2,110.0,2,1050.0
1945,Built-up  Area,Ready To Move,Arekere,1,28.0,1,600.0
1946,Plot  Area,Ready To Move,Varthur,2,110.0,4,1320.0
1949,Super built-up  Area,Ready To Move,GM Palaya,2,36.0,2,1000.0
1951,Super built-up  Area,Ready To Move,Vittasandra,2,67.0,2,1238.0
1952,Super built-up  Area,Ready To Move,Other,2,305.0,3,2204.0
1956,Super built-up  Area,Ready To Move,Gubbalala,3,104.0,3,1745.0
1957,Super built-up  Area,Ready To Move,Kogilu,2,53.33,2,1200.0
1958,Super built-up  Area,Ready To Move,Kanakapura,2,42.83,2,1020.0
1959,Super built-up  Area,Soon to be Vacated,Banashankari Stage III,3,118.0,3,1650.0
1961,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,60.0,2,1440.0
1962,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2,45.95,3,1329.0
1964,Super built-up  Area,Ready To Move,Hulimavu,1,50.0,1,688.0
1966,Super built-up  Area,Soon to be Vacated,Kanakpura Road,2,107.0,2,1331.0
1967,Super built-up  Area,Ready To Move,Malleshwaram,1,62.5,1,686.0
1968,Super built-up  Area,Ready To Move,Hoodi,2,50.0,2,1050.0
1969,Super built-up  Area,Ready To Move,Talaghattapura,3,126.0,3,2106.0
1972,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,56.0,2,1206.0
1973,Built-up  Area,Ready To Move,Hebbal,2,52.0,2,1075.0
1974,Plot  Area,Soon to be Vacated,Sarjapur  Road,3,95.0,3,1200.0
1977,Super built-up  Area,Ready To Move,Sahakara Nagar,2,75.0,3,1100.0
1982,Built-up  Area,Ready To Move,Other,2,110.0,3,1685.0
1983,Super built-up  Area,Ready To Move,CV Raman Nagar,2,37.0,2,740.0
1985,Plot  Area,Ready To Move,Magadi Road,2,93.0,4,1500.0
1986,Super built-up  Area,Ready To Move,Banashankari,3,115.0,3,1800.0
1987,Super built-up  Area,Ready To Move,Yelachenahalli,3,130.0,3,1700.0
1988,Built-up  Area,Ready To Move,Uttarahalli,2,37.93,2,850.0
1989,Super built-up  Area,Ready To Move,Hennur Road,3,139.0,3,1891.0
1990,Built-up  Area,Ready To Move,Jalahalli,1,80.0,2,1400.0
1991,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,82.0,2,1172.0
1993,Built-up  Area,Ready To Move,Sonnenahalli,2,43.75,2,896.0
1994,Super built-up  Area,Soon to be Vacated,Vijayanagar,2,65.0,2,1180.0
1995,Plot  Area,Ready To Move,Basaveshwara Nagar,7,350.0,7,2460.0
1997,Super built-up  Area,Soon to be Vacated,Anekal,1,18.0,1,530.0
1998,Super built-up  Area,Soon to be Vacated,Other,3,110.0,3,1550.0
1999,Super built-up  Area,Soon to be Vacated,Kanakapura,3,97.0,3,1699.0
2001,Super built-up  Area,Soon to be Vacated,Ananth Nagar,2,14.0,1,500.0
2002,Built-up  Area,Ready To Move,Other,1,20.0,1,500.0
2004,Super built-up  Area,Ready To Move,Malleshwaram,4,332.0,3,2475.0
2005,Super built-up  Area,Ready To Move,Haralur Road,2,145.0,2,1455.0
2006,Plot  Area,Ready To Move,Seegehalli,1,50.0,2,800.0
2007,Super built-up  Area,Ready To Move,Abbigere,2,30.0,1,765.0
2008,Super built-up  Area,Ready To Move,Lingadheeranahalli,3,94.99,3,1521.0
2010,Super built-up  Area,Ready To Move,Other,4,370.0,3,3155.0
2011,Super built-up  Area,Ready To Move,Hebbal Kempapura,4,240.0,3,2900.0
2012,Super built-up  Area,Ready To Move,Other,3,105.0,3,1765.0
2014,Built-up  Area,Ready To Move,Amruthahalli,3,135.0,3,1900.0
2016,Super built-up  Area,Ready To Move,Bommasandra,2,40.0,2,1034.0
2018,Super built-up  Area,Ready To Move,Electronic City,2,54.0,2,1070.0
2019,Built-up  Area,Ready To Move,Mahadevpura,4,230.0,4,3555.0
2020,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,70.0,3,1270.0
2022,Super built-up  Area,Ready To Move,Other,4,154.0,3,2045.0
2023,Super built-up  Area,Ready To Move,Bellandur,2,98.0,3,1490.0
2025,Super built-up  Area,Ready To Move,Mysore Road,2,40.0,2,883.0
2026,Super built-up  Area,Ready To Move,Yeshwanthpur,1,36.85,1,671.0
2027,Super built-up  Area,Ready To Move,Kammasandra,2,32.0,2,1156.0
2028,Super built-up  Area,Ready To Move,Haralur Road,3,125.0,3,2017.0
2032,Super built-up  Area,Soon to be Vacated,Kanakpura Road,2,89.0,2,1296.0
2033,Plot  Area,Ready To Move,Other,4,280.0,6,2400.0
2034,Super built-up  Area,Ready To Move,Budigere,2,62.0,2,1139.0
2035,Super built-up  Area,Soon to be Vacated,CV Raman Nagar,3,47.0,2,1230.0
2036,Super built-up  Area,Ready To Move,Other,2,25.0,1,581.91
2037,Super built-up  Area,Soon to be Vacated,Binny Pete,2,86.28,2,1245.0
2038,Plot  Area,Ready To Move,Other,2,85.0,3,1158.0
2041,Super built-up  Area,Ready To Move,Ramamurthy Nagar,1,26.0,1,360.0
